Palabra,Conteo
reforma,231
justicia,192
medio,170
económica,159
solidaridad,150
inversión,124
respeto,122
compromiso,110
trabajo,105
empresas,103
deuda,97
seguridad,94
democracia,90
estabilidad,89
salud,87
campesinos,81
trabajadores,77
inflación,67
revolución,62
ambiente,44
externa,41
concertación,39
salarios,33
impuesto,27
modernizacion,0
